question_content,answer_content,box_number,last_reviewed
"Un client vous propose une échelle, mais il lui manque un pachon. Que faites-vous si vous n’avez pas d’échelle avec vous ?|","J'accepte évidemment, mais ne le dites pas à l'expert...|",28,2025-04-29
Comment fait-on pour meuler un tournevis ?|,Je mets des lunettes de protection|,29,2025-04-29
Pourquoi a-t-on plus de pertes dans une self traditionnelle ?|,Elle est le siège de pertes magnétiques et par effet joule que l'on a pas dans une self électronique|,30,2025-04-29
Comment transforme-t-on l’énergie hydraulique en électricité ?|,"on turbine l'eau (énergie cinétique), qui entraîne un alternateur (magnétique), qui produit de l’électricité|",31,2025-04-29
Quand produit-on l’énergie de pointe ?|,"généralement à 11h30 en hivers, mais avec l'arrivée des climatiseurs et des étés chaud, cela pourrait changer..|",32,2025-04-29
Comment produit-on l’énergie de pointe ?|,avec des centrales hydrauliques|,33,2025-04-29
Que fait-on si l’on n'arrive pas a en produire assez d'électricité (pour couvrir une pointe de consomation par exemple) ?|,"on l'importe, sinon on coupe(ra) certains usagers|",34,2025-04-29
Peut-on réenclencher un thermique moteur juste après son déclenchement ?|,"non, il doit refroidir|",35,2025-04-29
Ordre à suivre pour le contrôle d’isolement.|,"avertir les utilisateurs, couper les conducteurs polaires, vérifier l'absence de tension, couper le neutre, à nouveau vérifier l'absence de tension, déconnecter les appareils, faire les mesures, refermer le sectionneur, décharger les lignes, réalimenter les conducteurs polaires, rebrancher les appareils |",36,2025-04-29
Quels sont les valeurs normalisées des DDR et a quoi servent ces valeurs ?|,10mA (T12) et 30 mA pour la protection des personnes et 300mA pour la protection des biens|,37,2025-04-29
Temps de déclenchement d’un DDR ?|,"300 ms selon la NIBT, en pratique ils coupent entre 20 et 35 ms (le type S peut déclencher entre 120 et 500 ms)|",38,2025-04-29
Citer les types de cuisinières électriques !|,"plaque en fonte, vitrocéramique, halogène, induction|",39,2025-04-29
Citer les types de chauffage !|,"accumulateur, convecteur avec ou sans ventilation, infrarouge, chauffage de sol, en natte, radian, plinthes chauffantes|",40,2025-04-29
J’ai entendu dire que la PAC a un meilleur rendement que les autres systèmes. Je voudrai l’installer chez moi. Est-ce que je peux ?|,"Oui, mais il faut modifier votre installation existante|",41,2025-04-29
Où peut-on installer les  PAC|,partout|,42,2025-04-29
Citer les différents systèmes PAC.|,"PAC air-eau, eau-eau  eau de surface, rivière, nappe phréatique; saumure/eau: géothermie de surface avec puits, nappe phréatique|",43,2025-04-29
Corriger la phrase suivante : Une PAC a un rendement de 300.|,"on ne parle pas de rendement mais un coefficient de performance, et il est entre 2 et 5, 300 c'est trop.|",44,2025-04-29
Expliquer le fonctionnement d'un disjoncteur.|,coupure thermique (bilame) si surcharge et magnétique (bobine) si court-circuit.|,45,2025-04-29
Comment fonctionnent les cuisinières à induction ?|,"La plaque est un générateur de champ magnétique variable, ce champ crée des courants induits dans les objets ferromagnétiques ce qui engendre un échauffement par effet joule|",46,2025-04-29
Quelle est la différence entre tube acier et tube alu ?|,principalement le poids|,47,2025-04-29
Selon quel principe règle-t-on les thermiques des moteurs ?|,la valeur réglée doit être celle inscrite sur la plaquette du moteur|,48,2025-04-29
Que comprend une colonne montante ?|,une distribution verticale depuis le point de coupure comprenant une boîte par étage|,49,2025-04-29
Quel est le but des DIT ?|,définir un niveau minimum d'exigence  de qualité|,50,2025-04-29
Citez moi des points de coupures.|,"répartiteur réseau, armoire de connexions, coupe-circuit|",51,2025-04-29
Un câble blindé traverse 2 bâtiments. Doit-on mettre à terre les blindages ?|,"Il n'y a pas de règle générale, cela dépend de quelle perturbation on doit se protéger|",52,2025-04-29
Décrire le fonctionnement des microphones|,les variations de pression acoustiques sont transmisses à un noyau de bobine (ou par effet piézo-électrique) ce qui génère des courants électriques variables|,53,2025-04-29
Décrire le fonctionnement des écouteurs.|,Le courant électrique variable traverse une bobine placée dans un champ magnétique fixe. La bobine est reliée mécaniquement à la membrane de l'écouteur qui produit ainsi des variation de pression acoustique (du son)|,54,2025-04-29
Quels sont les différentes équipotentiels et mises a terre ou électrodes de terre en télécommunication ?|,"mise à terre ou électrodes de terre : celle du courant fort - radier, équipotentiel : celle de la basse tension + borne centrale de terre des télécoms. |",55,2025-04-29
Comment désactive-t-on le service « 21 » ?|, #21# |,56,2025-04-29
A quoi sert le relais a courant fort ?|,"alimenter des appareils 230 V (sonnerie, corne d'appel, lampes) avec le signal d'appel |",57,2025-04-29
Différence entre analogique et numérique.|,"Un signal analogique peut prendre une infinité de valeurs, reflétant fidèlement les variations du phénomène d’origine (par exemple, la courbe d’une onde sonore). Le signal numérique ne prend que deux valeurs possibles (0 ou 1) à chaque instant|",58,2025-04-29
